title2;price;location;info;description;title;car_year
2017 Subaru Forester AWD 69,0000 KM;200;St.Albert;"$200.00
Bridgestone Blizzak WS80 winter tires
St. Albert < 2 hours ago
Selling 4 Bridgestone Blizzak WS80 winter tires. Came off 2012 Hyundai Elantra. Bolt patter is 5x114. Will fit most Hyundai and lots of other vehicles. Tires are still in decent shape and can be used ...";Selling 4 Bridgestone Blizzak WS80 winter tires. Came off 2012 Hyundai Elantra. Bolt patter is 5x114. Will fit most Hyundai and lots of other vehicles. Tires are still in decent shape and can be used ...;2017 Subaru Forester AWD 69,0000 KM;2017
2017 Subaru Forester AWD 69,0000 KM;100;Calgary;"$100.00
Genuine Brand new Mercedes W463 G-class rubber floor mats $105
Calgary < 2 hours ago
It fit (2010-2020) Mercedes-Benz G-class model, This heavy rubber pad protects the interior of your vehicle. The product can be used in every season, heavy rubber material and deep surface lines can ...";It fit (2010-2020) Mercedes-Benz G-class model, This heavy rubber pad protects the interior of your vehicle. The product can be used in every season, heavy rubber material and deep surface lines can ...;2017 Subaru Forester AWD 69,0000 KM;2017
2013 Ford Escape SE AWD;20;Lethbridge;"$20.00
Fisher-Price: Go Diego Go Dinosaur Rescue Mountain
Lethbridge < 2 hours ago
Go Diego Go Dinosaur Rescue Mountain in very good condition! The dinosaur head folds for easy storage, and opens to reveal a crank, and a door to lift the crate up through. Complete with a vehicle ...";Go Diego Go Dinosaur Rescue Mountain in very good condition! The dinosaur head folds for easy storage, and opens to reveal a crank, and a door to lift the crate up through. Complete with a vehicle ...;2013 Ford Escape SE AWD;2013
2013 Ford Escape SE AWD;10000;RedDeer;"$10,000.00
2013 Ford Focus
Red Deer < 2 hours ago
Original owner, lady driven 65, 921 km’s Regular oil change and maintenance done Comes with a set of winter tires as well as after market command start Small crack in windshield and small dent in ...
Automatic | 65,921 km";"Original owner, lady driven 65, 921 km’s Regular oil change and maintenance done Comes with a set of winter tires as well as after market command start Small crack in windshield and small dent in ...
Automatic | 65,921 km";2013 Ford Escape SE AWD;2013
Brand new Genuine BMWX5 All Weather Floor Mats $95;10400;Calgary;"$10,400.00
PRICE REDUCED 2009 HONDA CRV-EXL
Calgary < 2 hours ago
PRICE reduced. Active status. Great reliable winter vehicle. 2 way remote starter up to 2km away. Heater works great, heated seats. Interior in great shape, like new. Premium sound system, power ...
Automatic | 183,000 km";"PRICE reduced. Active status. Great reliable winter vehicle. 2 way remote starter up to 2km away. Heater works great, heated seats. Interior in great shape, like new. Premium sound system, power ...
Automatic | 183,000 km";Brand new Genuine BMWX5 All Weather Floor Mats $95;NA
Brand new Genuine BMWX5 All Weather Floor Mats $95;265;Calgary;"$265.93
Front Leveling Kit
Calgary
Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Calgary 707 Barlow Tr SE, Bay A Calgary, AB, T2E 8C2 (403) 237-7660 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!";Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Calgary 707 Barlow Tr SE, Bay A Calgary, AB, T2E 8C2 (403) 237-7660 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!;Brand new Genuine BMWX5 All Weather Floor Mats $95;NA
FS: Continental Cross Contact LX M&S Tires 225/65R17;45;Calgary;"$45.00
105Amp Alternator A07888-7
Calgary < 2 hours ago
105Amp Alternator A07888-7 in excellent condition (photo of actual part). Used on a wide line up of GM vehicles, kept as a spare for a car I no longer have (3800 V6 SS). I believe these are alt part# ...";105Amp Alternator A07888-7 in excellent condition (photo of actual part). Used on a wide line up of GM vehicles, kept as a spare for a car I no longer have (3800 V6 SS). I believe these are alt part# ...;FS: Continental Cross Contact LX M&S Tires 225/65R17;NA
FS: Continental Cross Contact LX M&S Tires 225/65R17;35;Calgary;"$35.00
Collection of Fisher Price figures, action vehicles $35 for all.
Calgary < 2 hours ago
Mixture of Fisher Price adventure vehicles including Rescue truck, Helicopters, Water Cat, Jeep, and nice selection of figures. All for $35. Pickup in Cranston.";Mixture of Fisher Price adventure vehicles including Rescue truck, Helicopters, Water Cat, Jeep, and nice selection of figures. All for $35. Pickup in Cranston.;FS: Continental Cross Contact LX M&S Tires 225/65R17;NA
Front Leveling Kit;14500;Edmonton;"$14,500.00
2017 Hyundai Sonata GLS 2.4L No Accident
Edmonton < 2 hours ago
Selling my 2017 Hyundai Sonata with only 109,000 km (less than average). It is a Non-Smoking vehicle. NO ACCIDENTS! Features: - 2.4 L engine With 180 hp , has sports mode - Sunroof - All 4 Heated ...
Automatic | 109,000 km";"Selling my 2017 Hyundai Sonata with only 109,000 km (less than average). It is a Non-Smoking vehicle. NO ACCIDENTS! Features: - 2.4 L engine With 180 hp , has sports mode - Sunroof - All 4 Heated ...
Automatic | 109,000 km";Front Leveling Kit;NA
Front Leveling Kit;18500;Calgary;"$18,500.00
2013 ford F150 FX4
Calgary < 2 hours ago
excellent condition FX4, appearance package. New tires on 20"" rims. Tonneau cover over bed. Heated and cooled seats. Hardly a scratch on this vehicle
Automatic | 247,000 km";"excellent condition FX4, appearance package. New tires on 20"" rims. Tonneau cover over bed. Heated and cooled seats. Hardly a scratch on this vehicle
Automatic | 247,000 km";Front Leveling Kit;NA
Brand new Genuine BMWX5 2 piece rear All Weather Floor Mats $30;50;StrathconaCounty;"$50.00
GPS - Magellan RoadMate 3030
Strathcona County < 2 hours ago
Magellan RoadMate 3030 LM Vehicle GPS - 4.7"" touch screen - One touch user interface to program favorite searches or points of interest to a single screen icon - Spoken street names and highway lane ...";"Magellan RoadMate 3030 LM Vehicle GPS - 4.7"" touch screen - One touch user interface to program favorite searches or points of interest to a single screen icon - Spoken street names and highway lane ...";Brand new Genuine BMWX5 2 piece rear All Weather Floor Mats $30;NA
Brand new Genuine BMWX5 2 piece rear All Weather Floor Mats $30;NA;Calgary;"Please Contact
2014 Toyota 4Runner
Calgary < 3 hours ago
Beautiful 2014 Toyota 4Runner limited runs amazing recently fully serviced. This vehicle has had one owner no accidents and no liens. Black exterior with beautiful 2-tone leather interior comes with ...
Automatic | 158,190 km";"Beautiful 2014 Toyota 4Runner limited runs amazing recently fully serviced. This vehicle has had one owner no accidents and no liens. Black exterior with beautiful 2-tone leather interior comes with ...
Automatic | 158,190 km";Brand new Genuine BMWX5 2 piece rear All Weather Floor Mats $30;NA
Bridgestone Blizzak WS80 winter tires;6900;Edmonton;"$6,900.00
2005 HONDA ODYSSEY EX-L! 1 OWNER! LEATHER! 8 PASS! ONLY $6,900!
Edmonton < 3 hours ago
2005 HONDA ODYSSEY! SILVER PEARL ON GREY LEATHER! POWERFUL YET ECONOMICAL 3.5L V6 AUTOMATIC! 1 OWNER VEHICLE DEALER SERVICED SINCE NEW!!! ALL LUXURY OPTIONS INCLUDING,HEATED LEATHER SEATS, DUAL POWER ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Automatic | 201,088 km | CARFAX Canada Report";"2005 HONDA ODYSSEY! SILVER PEARL ON GREY LEATHER! POWERFUL YET ECONOMICAL 3.5L V6 AUTOMATIC! 1 OWNER VEHICLE DEALER SERVICED SINCE NEW!!! ALL LUXURY OPTIONS INCLUDING,HEATED LEATHER SEATS, DUAL POWER ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Automatic | 201,088 km | CARFAX Canada Report";Bridgestone Blizzak WS80 winter tires;NA
Bridgestone Blizzak WS80 winter tires;9900;Edmonton;"$9,900.00
2010 HONDA CIVIC DX-G! AUTO! 107,000KMS! 1 OWNER! ONLY $9,900!!!
Edmonton < 3 hours ago
INDOOR SHOWROOM LOCATED AT 15799-116AVE NW *LUXURY LINE AUTO IS AN AMVIC REGISTERED DEALER* 2010 HONDA CIVIC DX-G! SILVER ON GREY! POWERFUL YET ECONOMICAL 1.8L 4CYLINDER AUTOMATIC! 1 OWNER VEHICLE ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Automatic | 107,268 km | CARFAX Canada Report";"INDOOR SHOWROOM LOCATED AT 15799-116AVE NW *LUXURY LINE AUTO IS AN AMVIC REGISTERED DEALER* 2010 HONDA CIVIC DX-G! SILVER ON GREY! POWERFUL YET ECONOMICAL 1.8L 4CYLINDER AUTOMATIC! 1 OWNER VEHICLE ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Automatic | 107,268 km | CARFAX Canada Report";Bridgestone Blizzak WS80 winter tires;NA
Genuine Brand new Mercedes W463 G-class rubber floor mats $105;24900;Edmonton;"$24,900.00
2012 BMW 650i CONVERTIBLE! RARE RWD! MINT! 400HP! ONLY $24,900!
Edmonton < 3 hours ago
2012 BMW 650i LUXURY CONVERTIBLE! DESIRABLE BLACK ON BLACK LEATHER! 4.4L V8 TWIN TURBO PRODUCING 400HP OF GERMAN ENGINEERING MATED TO AN 8-SPEED AUTOMATIC W/PADDLE SHIFT! 2 OWNER VEHICLE DEALER ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Automatic | 106,108 km";"2012 BMW 650i LUXURY CONVERTIBLE! DESIRABLE BLACK ON BLACK LEATHER! 4.4L V8 TWIN TURBO PRODUCING 400HP OF GERMAN ENGINEERING MATED TO AN 8-SPEED AUTOMATIC W/PADDLE SHIFT! 2 OWNER VEHICLE DEALER ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Automatic | 106,108 km";Genuine Brand new Mercedes W463 G-class rubber floor mats $105;NA
Genuine Brand new Mercedes W463 G-class rubber floor mats $105;6900;Edmonton;"$6,900.00
2008 HONDA CIVIC DX SEDAN! 5SPD! MINT! SPECIAL ONLY $6,900!!!!
Edmonton < 3 hours ago
INDOOR SHOWROOM LOCATED AT 15799-116AVE NW *LUXURY LINE AUTO IS AN AMVIC REGISTERED DEALER* 2008 HONDA CIVIC DX! SILVER ON GREY! POWERFUL YET ECONOMICAL 1.8L 4CYLINDER 5 SPEED MANUAL! 2 OWNER VEHICLE ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Manual | 163,458 km | CARFAX Canada Report";"INDOOR SHOWROOM LOCATED AT 15799-116AVE NW *LUXURY LINE AUTO IS AN AMVIC REGISTERED DEALER* 2008 HONDA CIVIC DX! SILVER ON GREY! POWERFUL YET ECONOMICAL 1.8L 4CYLINDER 5 SPEED MANUAL! 2 OWNER VEHICLE ...
**NEW LOCATION IN WEST EDMONTON HEATED INDOOR SHOWROOM LOCATED AT 15799-116AVE NW** LUXURY LINE AUTO EDMONTONS ORIGINAL USED LUXURY IMPORT DEALERSHIP!
Manual | 163,458 km | CARFAX Canada Report";Genuine Brand new Mercedes W463 G-class rubber floor mats $105;NA
Fisher-Price: Go Diego Go Dinosaur Rescue Mountain;13000;Lethbridge;"$13,000.00
2013 Fiat 500C Abarth
Lethbridge < 3 hours ago
2013 Fiat 500C Abarth No accidents. Extremely clean. This vehicle has only been driven in the summer time and stored in a garage during the winter months. Only reason I am selling is my family needs ...
Manual | 32,000 km";"2013 Fiat 500C Abarth No accidents. Extremely clean. This vehicle has only been driven in the summer time and stored in a garage during the winter months. Only reason I am selling is my family needs ...
Manual | 32,000 km";Fisher-Price: Go Diego Go Dinosaur Rescue Mountain;NA
Fisher-Price: Go Diego Go Dinosaur Rescue Mountain;14800;Calgary;"$14,800.00
Selling dodge charger $14,800
Calgary < 3 hours ago
$14,800. Selling my 2014 charger SXT rear wheel drive, car gas a 3.6 liter VVT motor. paid off its free and clear from any loan. I am located in red deer. First come first serve located in red deer ...
Automatic | 118,000 km";"$14,800. Selling my 2014 charger SXT rear wheel drive, car gas a 3.6 liter VVT motor. paid off its free and clear from any loan. I am located in red deer. First come first serve located in red deer ...
Automatic | 118,000 km";Fisher-Price: Go Diego Go Dinosaur Rescue Mountain;NA
2013 Ford Focus;265;Edmonton;"$265.93
Front Leveling Kit
Edmonton
Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Edmonton 17415 -103 Avenue Edmonton, AB, T5S 1J4 (780) 484-4777 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!";Product Number: #RLF66-2755 This item may not be in stock at your local store, but can be ordered in. Action Car And Truck Accessories - Edmonton 17415 -103 Avenue Edmonton, AB, T5S 1J4 (780) 484-4777 Save BIG on ALL Action Trucks Clearance items! Click through to our Website on the right for more information!;2013 Ford Focus;2013
2013 Ford Focus;100;Calgary;"$100.00
Michelin LTX M/S 245/60/18 all season tires. Set of 3.
Calgary < 3 hours ago
Set of three. Used. Good condition. Less than a year old. Tread depth 10/32. I’m driving an AWD vehicle and got a puncture in one so to save the AWD it’s necessary to replace all 4. 3 great tires ...";Set of three. Used. Good condition. Less than a year old. Tread depth 10/32. I’m driving an AWD vehicle and got a puncture in one so to save the AWD it’s necessary to replace all 4. 3 great tires ...;2013 Ford Focus;2013
PRICE REDUCED 2009 HONDA CRV-EXL;800;St.Albert;"$800.00
Providing you with free removal and top cash on the spot
St. Albert < 3 hours ago
used vehicles running or not we pay top cash for cars and trucks and SUV’s and vans removal WE’LL BEAT OTHER OFFERS TO MAKE SURE YOU GET HIGHEST PAY OUT!!! You will get as much as we quoted WE BUY ...
114,258 km";"used vehicles running or not we pay top cash for cars and trucks and SUV’s and vans removal WE’LL BEAT OTHER OFFERS TO MAKE SURE YOU GET HIGHEST PAY OUT!!! You will get as much as we quoted WE BUY ...
114,258 km";PRICE REDUCED 2009 HONDA CRV-EXL;NA
PRICE REDUCED 2009 HONDA CRV-EXL;500;Calgary;"$500.00
SUV Winter Tires and Rims from a 2009 Hyundai Santa Fe
Calgary < 3 hours ago
Winter Tires from my 2009 Hyundai Santa Fe Used for 2 seasons We replaced the vehicle. 235/70R16 106R";Winter Tires from my 2009 Hyundai Santa Fe Used for 2 seasons We replaced the vehicle. 235/70R16 106R;PRICE REDUCED 2009 HONDA CRV-EXL;NA
Front Leveling Kit;NA;Calgary;"Please Contact
Looking for 1980-1983 civic
Calgary < 3 hours ago
looking for any Second Gen Honda Civic from (1980-1983) let me know what you have, hatchback, sedan, wagon any condition, not running or parts vehicles considered
123,456 km";"looking for any Second Gen Honda Civic from (1980-1983) let me know what you have, hatchback, sedan, wagon any condition, not running or parts vehicles considered
123,456 km";Front Leveling Kit;NA
Front Leveling Kit;NA;Calgary;"Please Contact
Looking for 1980-1983 civic
Calgary < 3 hours ago
looking for any Second Gen Honda Civic from (1980-1983) let me know what you have, hatchback, sedan, wagon any condition, not running or parts vehicles considered
123,456 km";"looking for any Second Gen Honda Civic from (1980-1983) let me know what you have, hatchback, sedan, wagon any condition, not running or parts vehicles considered
123,456 km";Front Leveling Kit;NA
105Amp Alternator A07888-7;7700;Calgary;"$7,700.00
2014 Mazda 6 Sky-active
Calgary < 3 hours ago
Selling a Mazda 6 SKY-ACTIVE TECHNOLOGY , this vehicle was purchased for Highway travel and has treated me very well . There’s nothing wrong with this car , comes with all-season tires on rims and ...
Automatic | 306,000 km";"Selling a Mazda 6 SKY-ACTIVE TECHNOLOGY , this vehicle was purchased for Highway travel and has treated me very well . There’s nothing wrong with this car , comes with all-season tires on rims and ...
Automatic | 306,000 km";105Amp Alternator A07888-7;NA
105Amp Alternator A07888-7;69;Edmonton;"$69.95
NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206
Edmonton
NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206 SALE $69.95 ALL IN ONE OBD2 GAUGES ? KW206 Car OBD2 HUD display is the combination of automotive trip computer gauge and diagnostic scan gauge. Not only it can display up to hundreds of real-time engine parameters in its digital 3.5’’ color screen like speedometer,";NEW ALL IN ONE DIGITAL METER SPEEDOMETER KW206 SALE $69.95 ALL IN ONE OBD2 GAUGES ? KW206 Car OBD2 HUD display is the combination of automotive trip computer gauge and diagnostic scan gauge. Not only it can display up to hundreds of real-time engine parameters in its digital 3.5’’ color screen like speedometer,;105Amp Alternator A07888-7;NA
Collection of Fisher Price figures, action vehicles $35 for all.;12000;Lloydminster;"$12,000.00
Lincoln MKX for Sale
Lloydminster < 3 hours ago
2013 Lincoln MKX for sale by the original owner. Well Maintained clean vehicle. $12,500
Automatic | 201,147 km";"2013 Lincoln MKX for sale by the original owner. Well Maintained clean vehicle. $12,500
Automatic | 201,147 km";Collection of Fisher Price figures, action vehicles $35 for all.;NA
Collection of Fisher Price figures, action vehicles $35 for all.;6200;Lethbridge;"$6,200.00
2012 Chevrolet Equinox AWD
Lethbridge < 3 hours ago
Selling my 2012 Chevrolet Equinox AWD. This SUV is in very good condition and has always been serviced regularly. This vehicle has many features: -2.4L Ecotec L4 -AWD Automatic transmission ...
Automatic | 240,381 km";"Selling my 2012 Chevrolet Equinox AWD. This SUV is in very good condition and has always been serviced regularly. This vehicle has many features: -2.4L Ecotec L4 -AWD Automatic transmission ...
Automatic | 240,381 km";Collection of Fisher Price figures, action vehicles $35 for all.;NA
2017 Hyundai Sonata GLS 2.4L No Accident;16000;Calgary;"$16,000.00
2013 Toyota Tacoma 6500 GVW 4 wheel drive
Calgary < 3 hours ago
2013 Toyota Tacoma 6500 GVW (larger one) 4 wheel drive, 6 speed manual transmission. Good rubber, box liner. Undercoated, hard cover box topper, 298,000 kms. Perfect shape, Excellent vehicle selling ...
Manual | 298,000 km";"2013 Toyota Tacoma 6500 GVW (larger one) 4 wheel drive, 6 speed manual transmission. Good rubber, box liner. Undercoated, hard cover box topper, 298,000 kms. Perfect shape, Excellent vehicle selling ...
Manual | 298,000 km";2017 Hyundai Sonata GLS 2.4L No Accident;2017
2017 Hyundai Sonata GLS 2.4L No Accident;1800;GrandePrairie;"$1,800.00
2005 Jeep Liberty Sport 4x4
Grande Prairie < 3 hours ago
Road ready 05 Jeep Liberty Perfect little winter beater comes with a set of black rims with all seasons with minimal wear. 4x4 works and vehicle runs and drives. Passed inspection done a month ago. ...
Automatic | 284,182 km";"Road ready 05 Jeep Liberty Perfect little winter beater comes with a set of black rims with all seasons with minimal wear. 4x4 works and vehicle runs and drives. Passed inspection done a month ago. ...
Automatic | 284,182 km";2017 Hyundai Sonata GLS 2.4L No Accident;2017
2013 ford F150 FX4;125;Calgary;"$125.00
Set of four 16 inch winter rims. Fits multiple vehicles
Calgary < 3 hours ago
Like new, used part of a season. Fits a multitude of vehicles. Check with dealership or Canadian Tire for fitment (Canadian Tire rims)";Like new, used part of a season. Fits a multitude of vehicles. Check with dealership or Canadian Tire for fitment (Canadian Tire rims);2013 ford F150 FX4;2013
2013 ford F150 FX4;NA;Calgary;"Please Contact
2006 Subaru Baja Turbo
Calgary < 3 hours ago
For sale is this 2006 Baja Turbo, originally a US car as the turbos were never sold here. Vehicle is high mileage, but still runs and drives well, albiet needing some work to be 100%. Has some common ...
Manual | 325,000 km";"For sale is this 2006 Baja Turbo, originally a US car as the turbos were never sold here. Vehicle is high mileage, but still runs and drives well, albiet needing some work to be 100%. Has some common ...
Manual | 325,000 km";2013 ford F150 FX4;2013
GPS - Magellan RoadMate 3030;300;Lethbridge;"$300.00
Bike carrier
Lethbridge < 3 hours ago
Hollywood Bike rack. Attaches to vehicle’s trailer hitch. Two pieces. Single attachment holds two bikes. Add the second attachment to hold 4 bikes. Comes with hitch pin lock and a long cable lock to ...";Hollywood Bike rack. Attaches to vehicle’s trailer hitch. Two pieces. Single attachment holds two bikes. Add the second attachment to hold 4 bikes. Comes with hitch pin lock and a long cable lock to ...;GPS - Magellan RoadMate 3030;NA
GPS - Magellan RoadMate 3030;1000;Edmonton;"$1,000.00
Michelin X-Ice on Rims
Edmonton 12/10/2021
4 Michelin X-Ice winter tires on rims. Excellent condition. Won't fit my new vehicle. 225/55R18. 18 Inch wheels - 5 X 114.3 center bore 67.1 mm Barely used. $1000.00 OBO";4 Michelin X-Ice winter tires on rims. Excellent condition. Won't fit my new vehicle. 225/55R18. 18 Inch wheels - 5 X 114.3 center bore 67.1 mm Barely used. $1000.00 OBO;GPS - Magellan RoadMate 3030;NA
